"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 02 18:06:29 CST 2021","Mon Aug 02 18:06:30 CST 2021","693","testcase.calendars","test_calendars","TestCalendars","","","test_create[public_api]",""
"passed","Mon Aug 02 18:06:30 CST 2021","Mon Aug 02 18:06:30 CST 2021","324","testcase.calendars","test_calendars","TestCalendars","","","test_list[data0]",""
"passed","Mon Aug 02 18:06:31 CST 2021","Mon Aug 02 18:06:32 CST 2021","951","testcase.calendars","test_calendars","TestCalendars","","","test_update[update_data0-create_data0]",""
"passed","Mon Aug 02 18:06:30 CST 2021","Mon Aug 02 18:06:31 CST 2021","427","testcase.calendars","test_calendars","TestCalendars","","","test_delete[data0]",""
